Disclaimer: this command is for informational purposes only.
	It does not indicate anything about your configuration.
      ID TYPE  NAME         FORMAT           QUALITY DESCRIPTION
------------------------------------------------------------------------------------------------
      30 image png          png                    0 (PNG Image)
       6 audio g726         g726                  85 (G.726 RFC3551)
       4 audio alaw         alaw                 100 (G.711 a-law)
       2 audio g723         g723                  20 (G.723.1)
      20 audio speex        speex                 40 (SpeeX)
      21 audio speex        speex16               40 (SpeeX 16khz)
      22 audio speex        speex32               40 (SpeeX 32khz)
      24 audio g722         g722                 110 (G722)
      25 audio siren7       siren7                85 (ITU G.722.1 (Siren7, licensed from Polycom))
      31 video h261         h261                   0 (H.261 video)
      32 video h263         h263                   0 (H.263 video)
       8 audio adpcm        adpcm                 80 (Dialogic ADPCM)
      35 video h265         h265                   0 (H.265 video)
      43 audio silk         silk8                  0 (SILK Codec (8 KHz))
      44 audio silk         silk12                 0 (SILK Codec (12 KHz))
      45 audio silk         silk16                 0 (SILK Codec (16 KHz))
      46 audio silk         silk24                 0 (SILK Codec (24 KHz))
      27 audio g719         g719                  95 (ITU G.719)
      33 video h263p        h263p                  0 (H.263+ video)
      34 video h264         h264                   0 (H.264 video)
      19 audio g729         g729                  45 (G.729A)
       9 audio slin         slin                 115 (16 bit Signed Linear PCM)
      10 audio slin         slin12               116 (16 bit Signed Linear PCM (12kHz))
      11 audio slin         slin16               117 (16 bit Signed Linear PCM (16kHz))
      12 audio slin         slin24               118 (16 bit Signed Linear PCM (24kHz))
      13 audio slin         slin32               119 (16 bit Signed Linear PCM (32kHz))
      14 audio slin         slin44               120 (16 bit Signed Linear PCM (44kHz))
      15 audio slin         slin48               121 (16 bit Signed Linear PCM (48kHz))
      16 audio slin         slin96               122 (16 bit Signed Linear PCM (96kHz))
      17 audio slin         slin192              123 (16 bit Signed Linear PCM (192kHz))
       3 audio ulaw         ulaw                 100 (G.711 u-law)
      18 audio lpc10        lpc10                  8 (LPC10)
      42 audio none         none                   0 (<Null> codec)
      41 image t38          t38                    0 (T.38 UDPTL Fax)
      38 video vp9          vp9                    0 (VP9 video)
      37 video vp8          vp8                    0 (VP8 video)
       5 audio gsm          gsm                   40 (GSM)
      36 video mpeg4        mpeg4                  0 (MPEG4 video)
      23 audio ilbc         ilbc                  35 (iLBC)
      39 text  red          red                    0 (T.140 Realtime Text with redundancy)
      40 text  t140         t140                   0 (Passthrough T.140 Realtime Text)
      28 audio opus         opus                  75 (Opus Codec)
      29 image jpeg         jpeg                   0 (JPEG image)
       7 audio g726aal2     g726aal2              85 (G.726 AAL2)
       1 audio codec2       codec2                 0 (Codec 2)
      26 audio siren14      siren14               90 (ITU G.722.1 Annex C, (Siren14, licensed from Polycom))
