Format     Name       Extensions          
------     ----       ----------          
slin16     wav16      wav16               
slin       wav        wav                 
slin192    sln192     sln192              
slin96     sln96      sln96               
slin48     sln48      sln48               
slin44     sln44      sln44               
slin32     sln32      sln32               
slin24     sln24      sln24               
slin16     sln16      sln16               
slin12     sln12      sln12               
slin       sln        sln|slin|raw        
h264       h264       h264                
gsm        wav49      WAV|wav49           
g729       g729       g729                
g719       g719       g719                
g723       g723sf     g723|g723sf         
gsm        gsm        gsm                 
ilbc       iLBC       ilbc                
siren14    siren14    siren14             
h263       h263       h263                
siren7     siren7     siren7              
g722       g722       g722                
ulaw       au         au                  
alaw       alaw       alaw|al|alw         
ulaw       pcm        pcm|ulaw|ul|mu|ulw  
adpcm      vox        vox                 
g726       g726-16    g726-16             
g726       g726-24    g726-24             
g726       g726-32    g726-32             
g726       g726-40    g726-40             
30 file formats registered.
